date,variable,value
19010503,TMIN,117
19010504,TMAX,294
19010504,TMIN,139
19010505,TMAX,250
19010505,TMIN,139
19010506,TMAX,172
19010506,TMIN,133
19010507,TMAX,133
19010507,TMIN,106
19010508,TMAX,161
19010508,TMIN,106
19010509,TMAX,189
19010509,TMIN,111
19010510,TMAX,244
19010510,TMIN,122
19010511,TMAX,206
19010511,TMIN,106
19010512,TMAX,167
19010512,TMIN,100
19010513,TMAX,200
19010513,TMIN,61
19010514,TMAX,228
19010514,TMIN,78
19010515,TMAX,250
19010515,TMIN,94
19010516,TMAX,261
19010516,TMIN,133
19010517,TMAX,289
19010517,TMIN,144
19010518,TMAX,289
19010518,TMIN,183
19010519,TMAX,211
19010519,TMIN,100
19010520,TMAX,200
19010520,TMIN,111
19010521,TMAX,167
19010521,TMIN,83
19010522,TMAX,244
19010522,TMIN,89
19010523,TMAX,317
19010523,TMIN,167
19010524,TMAX,261
19010524,TMIN,111
19010525,TMAX,144
19010525,TMIN,72
19010526,TMAX,189
19010526,TMIN,44
19010527,TMAX,172
19010527,TMIN,83
19010528,TMAX,228
19010528,TMIN,106
19010529,TMAX,211
19010529,TMIN,67
19010530,TMAX,200
19010530,TMIN,94
19010531,TMAX,239
19010531,TMIN,78
19010601,TMAX,222
19010601,TMIN,144
19010602,TMAX,289
19010602,TMIN,133
19010603,TMAX,278
19010603,TMIN,139
19010604,TMAX,306
19010604,TMIN,167
19010605,TMAX,306
19010605,TMIN,167
19010606,TMAX,244
19010606,TMIN,172
19010607,TMAX,206
19010607,TMIN,122
19010608,TMAX,133
19010608,TMIN,94
19010609,TMAX,239
19010609,TMIN,89
19010610,TMAX,300
19010610,TMIN,167
19010611,TMAX,333
19010611,TMIN,206
19010612,TMAX,322
19010612,TMIN,189
19010613,TMAX,300
19010613,TMIN,189
19010614,TMAX,317
19010614,TMIN,200
19010615,TMAX,306
19010615,TMIN,189
19010616,TMAX,356
19010616,TMIN,200
19010617,TMAX,294
19010617,TMIN,167
19010618,TMAX,306
19010618,TMIN,178
19010619,TMAX,311
19010619,TMIN,167
19010620,TMAX,311
19010620,TMIN,189
19010621,TMAX,356
19010621,TMIN,211
19010622,TMAX,344
19010622,TMIN,239
19010623,TMAX,344
19010623,TMIN,239
19010624,TMAX,344
19010624,TMIN,239
19010625,TMAX,367
19010625,TMIN,233
19010626,TMAX,283
19010626,TMIN,194
19010627,TMAX,328
19010627,TMIN,217
19010628,TMAX,339
19010628,TMIN,217
19010629,TMAX,317
19010629,TMIN,233
19010630,TMAX,367
19010630,TMIN,244
19010701,TMAX,356
19010701,TMIN,239
19010702,TMAX,356
19010702,TMIN,244
19010703,TMAX,322
19010703,TMIN,222
19010704,TMAX,367
19010704,TMIN,228
19010705,TMAX,367
19010705,TMIN,222
19010706,TMAX,333
19010706,TMIN,200
19010707,TMAX,261
19010707,TMIN,178
19010708,TMAX,261
19010708,TMIN,133
19010709,TMAX,328
19010709,TMIN,161
19010710,TMAX,394
19010710,TMIN,206
19010711,TMAX,389
19010711,TMIN,244
19010712,TMAX,344
19010712,TMIN,200
19010713,TMAX,322
19010713,TMIN,206
19010714,TMAX,333
19010714,TMIN,183
19010715,TMAX,344
19010715,TMIN,233
19010716,TMAX,356
19010716,TMIN,211
19010717,TMAX,372
19010717,TMIN,228
19010718,TMAX,344
19010718,TMIN,228
19010719,TMAX,350
19010719,TMIN,194
19010720,TMAX,367
19010720,TMIN,211
19010721,TMAX,411
19010721,TMIN,228
19010722,TMAX,417
19010722,TMIN,272
19010723,TMAX,383
19010723,TMIN,206
19010724,TMAX,394
19010724,TMIN,233
19010725,TMAX,356
19010725,TMIN,244
19010726,TMAX,356
19010726,TMIN,233
19010727,TMAX,350
19010727,TMIN,239
19010728,TMAX,350
19010728,TMIN,239
19010729,TMAX,283
19010729,TMIN,228
19010730,TMAX,339
19010730,TMIN,206
19010731,TMAX,300
19010731,TMIN,189
19010801,TMAX,311
19010801,TMIN,161
19010802,TMAX,372
19010802,TMIN,194
19010803,TMAX,300
19010803,TMIN,200
19010804,TMAX,283
19010804,TMIN,178
19010805,TMAX,289
19010805,TMIN,150
19010806,TMAX,306
19010806,TMIN,139
19010807,TMAX,339
19010807,TMIN,167
19010808,TMAX,356
19010808,TMIN,194
19010809,TMAX,356
19010809,TMIN,194
19010810,TMAX,311
19010810,TMIN,206
19010811,TMAX,294
19010811,TMIN,139
19010812,TMAX,322
19010812,TMIN,156
19010813,TMAX,339
19010813,TMIN,178
19010814,TMAX,344
19010814,TMIN,183
19010815,TMAX,333
19010815,TMIN,167
19010816,TMAX,322
19010816,TMIN,172
19010817,TMAX,294
19010817,TMIN,183
19010818,TMAX,256
19010818,TMIN,194
19010819,TMAX,294
19010819,TMIN,200
19010820,TMAX,261
19010820,TMIN,189
19010821,TMAX,278
19010821,TMIN,206
19010822,TMAX,328
19010822,TMIN,189
19010823,TMAX,300
19010823,TMIN,172
19010824,TMAX,283
19010824,TMIN,172
19010825,TMAX,311
19010825,TMIN,167
19010826,TMAX,300
19010826,TMIN,189
19010827,TMAX,300
19010827,TMIN,161
19010828,TMAX,311
19010828,TMIN,183
19010829,TMAX,317
19010829,TMIN,189
19010830,TMAX,300
19010830,TMIN,217
19010831,TMAX,244
19010831,TMIN,128
19010901,TMAX,261
19010901,TMIN,122
19010902,TMAX,267
19010902,TMIN,122
19010903,TMAX,283
19010903,TMIN,144
19010904,TMAX,311
19010904,TMIN,161
19010905,TMAX,311
19010905,TMIN,167
19010906,TMAX,322
19010906,TMIN,183
19010907,TMAX,344
19010907,TMIN,206
19010908,TMAX,294
19010908,TMIN,161
19010909,TMAX,333
19010909,TMIN,206
19010910,TMAX,278
19010910,TMIN,156
19010911,TMAX,306
19010911,TMIN,144
19010912,TMAX,228
19010912,TMIN,189
19010913,TMAX,261
